sol,wind_speed_avg,mars_season,temp_avg,environmental_stress_index,dust_season_risk,solar_longitude_deg,mission_phase,activity_count
309,4.5849977,Summer_North,209.433,0.029765593,0.0,91.0094,Primary,0
310,4.5635843,Summer_North,209.82724,0.0321448,0.0,91.4634,Primary,0
311,4.7866216,Summer_North,209.24298,0.040877346,0.0,91.915565,Primary,1
312,4.6836557,Summer_North,209.6302,0.04162063,0.0,92.372,Primary,0
313,4.6533203,Summer_North,209.70436,0.0382269,0.0,92.827,Primary,0
314,4.5798507,Summer_North,209.29301,0.034193464,0.0,93.28016,Primary,0
315,4.4802866,Summer_North,209.83728,0.03598629,0.0,93.737,Primary,0
316,4.7020564,Summer_North,209.58646,0.03682881,0.0,94.1926,Primary,0
317,4.6047726,Summer_North,209.20787,0.03589493,0.0,94.65137,Primary,0
318,4.4716077,Summer_North,209.95116,0.03458394,0.0,95.1046,Primary,1
319,4.7292695,Summer_North,209.78876,0.03740145,0.0,95.5612,Primary,0
320,4.62762,Summer_North,209.62027,0.036829114,0.0,96.02097,Primary,0
321,4.593884,Summer_North,210.48495,0.03907814,0.0,96.4752,Primary,0
322,4.5668993,Summer_North,209.3922,0.035484247,0.0,96.93095,Primary,0
323,4.504648,Summer_North,210.43665,0.03653172,0.0,97.3908,Primary,0
324,4.5343294,Summer_North,210.34978,0.03578218,0.0,97.8488,Primary,0
325,4.5625186,Summer_North,209.5329,0.032662988,0.0,98.30495,Primary,1
326,4.6346836,Summer_North,210.24353,0.024613379,0.0,98.7654,Primary,0
327,4.6838846,Summer_North,210.17673,0.028155021,0.0,99.225,Primary,0
328,4.609303,Summer_North,209.83176,0.027770653,0.0,99.68255,Primary,0
329,4.419367,Summer_North,210.32953,0.03440339,0.0,100.144,Primary,0
330,4.6480207,Summer_North,210.54243,0.034953497,0.0,100.6046,Primary,0
331,4.4525146,Summer_North,210.1256,0.038543276,0.0,101.06779,Primary,0
332,4.5190115,Summer_North,210.62654,0.037808914,0.0,101.5256,Primary,1
333,4.5329137,Summer_North,210.44124,0.036678478,0.0,101.98534,Primary,0
334,4.6038,Summer_North,210.75832,0.033127252,0.0,102.4492,Primary,0
335,4.4835887,Summer_North,211.08699,0.03183096,0.0,102.9112,Primary,0
336,4.5159845,Summer_North,210.43541,0.027413996,0.0,103.37193,Primary,0
337,4.508702,Summer_North,210.9425,0.021453569,0.0,103.8368,Primary,0
338,4.531459,Summer_North,211.02626,0.017249286,0.0,104.2998,Primary,0
339,4.649736,Summer_North,210.60648,0.023984328,0.0,104.76153,Primary,1
340,4.7189913,Summer_North,211.49857,0.034416556,0.0,105.2274,Primary,0
341,4.5780373,Summer_North,211.8032,0.03671117,0.0,105.692,Primary,0
342,4.554374,Summer_North,211.10335,0.034206867,0.0,106.15982,Primary,0
343,4.792808,Summer_North,211.58163,0.041706737,0.0,106.6226,Primary,0
344,4.6258616,Summer_North,211.41309,0.037697673,0.0,107.0886,Primary,0
345,4.436521,Summer_North,210.92671,0.044824045,0.0,107.55803,Primary,0
346,4.528345,Summer_North,211.35963,0.043617386,0.0,108.0222,Primary,1
347,4.6264772,Summer_North,210.82343,0.041743156,0.0,108.48731,Primary,0
348,4.658435,Summer_North,211.3329,0.040911984,0.0,108.9568,Primary,0
349,4.5473156,Summer_North,211.30225,0.041003115,0.0,109.4248,Primary,0
350,4.652613,Summer_North,210.94336,0.030684555,0.0,109.8915,Primary,0
351,4.8813467,Summer_North,211.39444,0.049022105,0.0,110.363,Primary,0
352,5.0245194,Summer_North,211.8791,0.06429785,0.0,110.833,Primary,0
353,4.6568365,Summer_North,211.53444,0.059983768,0.0,111.30585,Primary,1
354,4.860535,Summer_North,212.04996,0.06078433,0.0,111.7736,Primary,0
355,4.6840043,Summer_North,212.08627,0.061180137,0.0,112.2446,Primary,0
356,4.5730567,Summer_North,211.63701,0.059125356,0.0,112.71906,Primary,0
357,4.898593,Summer_North,212.06535,0.056330014,0.0,113.1882,Primary,0
358,4.55469,Summer_North,211.84789,0.06055434,0.0,113.65889,Primary,0
359,4.8133097,Summer_North,212.39085,0.049342796,0.0,114.1344,Primary,0
360,4.713229,Summer_North,212.98846,0.051424272,0.0,114.6084,Primary,0
361,4.8411326,Summer_North,212.19202,0.050440077,0.0,115.08048,Primary,0
362,4.8056545,Summer_North,212.51463,0.051275447,0.0,115.557,Primary,0
363,4.8609185,Summer_North,212.81544,0.044840466,0.0,116.0326,Primary,0
364,4.8426113,Summer_North,212.48807,0.041911013,0.0,116.506676,Primary,0
365,4.5644712,Summer_North,212.95491,0.039311145,0.0,116.9852,Primary,0
366,6.6200843,Summer_North,222.47473,0.2981029,0.0,117.5896,Primary,1
367,4.66087,Summer_North,212.65909,0.29980117,0.0,117.95846,Primary,0
