Sol,End,Look ahead,Activity,Solar longitude (deg),UTC
904,910,,"IDS Press and pull scrape of additional regolith, IDC Science and Tau Images",057.86,2021-06-12 13:59
911,917,,"Acquire & Dump for Solar Array Cleaning Activity #3 (19 June 2021), Shake of the West Solar Array (23 June 2021), IDC Science and Tau Images",061.01,2021-06-19 18:34
918,924,,"Post Shake Imaging of the Solar Panel and Deck (Sol0918), IDC Science and Tau Images",064.16,2021-06-26 23:09
925,937,,"IDS Temperature Monitoring Activity, SEIS VBBs on continuously, IDC Science and Tau Images",067.30,2021-07-04 03:44
938,951,,"SA Cleaning Activity #4 (18 July 2021), SEIS VBBs on continuously, New WUTT Installation, IDC Science and Tau Images",073.13,2021-07-17 12:16
952,964,,"Scraping of Regolith for Future Activities, SEIS VBBs on continuously, IDC Science and Tau Images",079.41,2021-07-31 21:28
965,978,,"Scraping of Regolith for Future Activities, Park IDA in safe position for Solar Conjunction, SEIS VBBs on continuously, IDC Science and Tau Images",085.26,2021-08-14 06:00
979,992,,"No IDS activity, HP3 Unsafing and recovery, RAD Singles, SEIS VBBs on continuously, Update LME curves, New WUTT Installation, IDC Science and Tau Images",091.60,2021-08-28 15:12
993,1009,,"No IDS activity, RAD Singles, SEIS VBBs on continuously, Configure SEIS VBBs to 20 sps prep for SC, Update LME curves, New WUTT Installation,  IDC Science and Tau Images",097.99,2021-09-12 00:24
1010,1032,,"No IDS activity, SEIS VBBs on continuously (20 sps), Update LME curves, New WUTT Installation,  IDC Science and Tau Images",105.83,2021-09-29 11:35
1033,1046,,"SEIS VBBs on continuously (20 sps through 27 Oct., 100 sps starting 28 Oct.), Update LME curves, New WUTT Installation, BST Dump, IDC Science and Tau Images",116.65,2021-10-23 02:42
1047,1060,,"Update LME Curves, Stereo Panorama Fill, RAD Single (Two Sols), IFG on two nights (10 hr, 15 hr), TWINS on two nights (12 hr, 9+ hr) and one day (7 hr), New WUTT Installation, IDC Science and Tau Images",123.38,2021-11-06 11:54
1061,1073,,"Update LME Curves, SA Cleaning Activity #5 (20 November 2021), RAD Singles, HP3 TEMP and TEMA, IFG, New WUTT Installation, IDC Science and Tau Images",130.23,2021-11-20 21:06
